effective_date,name,old_ticker,new_ticker,reason
6/27/2011,Byron Energy Ltd,TJN AU,TJNDA AU,Deferred Delivery
6/29/2011,Lachlan Star Ltd,LSADA AU,LSA AU,No Reason Supplied by Exchange
7/1/2011,EML Payments Ltd,AAO AU,AAODA AU,Reverse Stock Split
7/1/2011,Anteris Technologies Ltd,BOD AU,AHZ AU,Change of Exchange
7/1/2011,Anteris Technologies Ltd,BODOA AU,AHZOA AU,Name Change
7/4/2011,Villa World Ltd,GPM AU,GPMDA AU,Deferred Delivery
7/5/2011,Allied Gold Mining Ltd,ALDDA AU,ALD AU,Deferred Delivery
7/6/2011,Synertec Corp Ltd,SMLDA AU,SML AU,Deferred Delivery
7/8/2011,Redcastle Resources Ltd,GRP AU,GRPDC AU,Change of Exchange
7/11/2011,Byron Energy Ltd,TJNDA AU,TJN AU,Deferred Delivery
7/12/2011,Skyfii Ltd,RKS AU,RKSDC AU,Reverse Stock Split
7/15/2011,Sino-Excel Energy Ltd,NALDA AU,NAL AU,Deferred Delivery
7/15/2011,EML Payments Ltd,AAODA AU,AAO AU,Deferred Delivery
7/18/2011,Villa World Ltd,GPMDA AU,GPM AU,Deferred Delivery
7/18/2011,New Zealand Coastal Seafoods Ltd,URM AU,IZM AU,Name Change
7/18/2011,Impelus Ltd,MBA AU,MBE AU,Change of Exchange
7/18/2011,Sino-Excel Energy Ltd,NAL AU,SLE AU,Name Change
7/19/2011,Paragon Care Ltd,PGC AU,PGCDA AU,Name Change
7/19/2011,Cobalt One Ltd,NTR AU,EQU AU,Name Change
7/19/2011,Villa World Ltd,GPM AU,VLW AU,Name Change
7/19/2011,Cobalt One Ltd,NTRO AU,EQUO AU,Name Change
7/22/2011,Redcastle Resources Ltd,GRPDC AU,GRP AU,Name Change
7/27/2011,FE Investments Group Ltd,ASQ AU,ASQDA AU,Deferred Delivery
7/28/2011,Skyfii Ltd,RKSDC AU,RKS AU,Deferred Delivery
8/3/2011,NTM Gold Ltd,GOT AU,NTM AU,Name Change
8/3/2011,Paragon Care Ltd,PGCDA AU,PGC AU,Deferred Delivery
8/4/2011,Viralytics Ltd,VLA AU,VLADA AU,Change of Exchange
8/10/2011,Niuminco Group Ltd,DSF AU,NIU AU,Name Change
8/10/2011,Niuminco Group Ltd,DSFO AU,NIUO AU,Name Change
8/10/2011,Niuminco Group Ltd,DSFOA AU,NIUOA AU,Name Change
